epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,871.553,1.90803,0.93082,0.23145,2.41256,0.011,5.75191,0.28946,0.35714,0.25119,0.1042,0.306,0.37755,0.27272,0.23664,1.8364,1.08574,0.03879,2.37976,0.01285,0,0.001505,0.001505,0.001505
27,902.223,1.95532,0.8358,0.2445,2.46419,0.01174,5.87645,0.38073,0.39796,0.34796,0.14953,0.38743,0.42347,0.38146,0.33295,1.85904,0.75559,0.05545,2.36467,0.01312,0,0.0014852,0.0014852,0.0014852
28,935.112,1.87407,0.92101,0.22661,2.36859,0.01071,5.7755,0.38097,0.44898,0.32528,0.14788,0.41285,0.46939,0.37211,0.33534,1.78291,0.60671,0.04448,2.26221,0.01241,0,0.0014654,0.0014654,0.0014654
29,966.505,1.88198,0.88631,0.21659,2.3856,0.01125,5.79907,0.36676,0.34184,0.29592,0.11193,0.3874,0.39796,0.34633,0.29935,1.83227,1.08223,0.04743,2.48692,0.01279,0,0.0014456,0.0014456,0.0014456
30,997.281,1.8951,0.8705,0.20996,2.27997,0.01107,5.76285,0.32296,0.43367,0.29984,0.12307,0.38995,0.47615,0.37457,0.33757,1.86514,0.7254,0.04007,2.28394,0.01294,0,0.0014258,0.0014258,0.0014258
31,1027.86,1.96195,0.91541,0.23091,2.38753,0.01168,5.86838,0.37286,0.39796,0.31285,0.14184,0.40768,0.42347,0.34127,0.30663,1.81306,0.9433,0.05215,2.30271,0.01253,0,0.001406,0.001406,0.001406
32,1058.81,1.84531,0.86129,0.21102,2.40846,0.01065,5.59842,0.3193,0.39286,0.25653,0.10363,0.38216,0.5,0.33384,0.30309,1.8307,0.6868,0.06038,2.90021,0.01244,0,0.0013862,0.0013862,0.0013862
33,1089.67,1.89941,0.91034,0.21805,2.47077,0.01125,5.7648,0.28535,0.41837,0.29427,0.13623,0.29927,0.43878,0.31272,0.27676,1.69343,0.83734,0.04528,2.41254,0.01176,0,0.0013664,0.0013664,0.0013664
34,1121.54,1.89491,0.90742,0.21279,2.44884,0.01062,5.54889,0.42971,0.39286,0.33962,0.14194,0.42517,0.40816,0.37253,0.3383,1.70164,0.61628,0.04142,2.32556,0.01182,0,0.0013466,0.0013466,0.0013466
35,1152.92,1.89201,0.89983,0.20579,2.37305,0.0109,5.44588,0.37205,0.36735,0.29857,0.13133,0.39008,0.37755,0.31899,0.29266,1.87748,0.82055,0.05086,2.42343,0.0128,0,0.0013268,0.0013268,0.0013268
36,1183.93,1.86903,0.87499,0.21243,2.46359,0.01124,5.64709,0.40654,0.47185,0.32903,0.14439,0.42413,0.49226,0.36455,0.33414,1.76223,0.58782,0.03145,2.163,0.01227,0,0.001307,0.001307,0.001307
37,1214.87,1.88896,0.83838,0.18617,2.41009,0.01103,5.45465,0.34697,0.37411,0.29842,0.1291,0.37063,0.39962,0.34064,0.31405,1.79196,0.64747,0.03275,2.31933,0.01246,0,0.0012872,0.0012872,0.0012872
38,1245.77,1.86172,0.82665,0.21876,2.29699,0.01111,5.46424,0.42618,0.35204,0.33245,0.14279,0.4437,0.37755,0.35244,0.31447,1.82979,0.85979,0.04509,2.42583,0.01264,0,0.0012674,0.0012674,0.0012674
39,1276.56,1.88662,0.83196,0.1981,2.3704,0.01098,5.48027,0.33143,0.42996,0.31436,0.13327,0.38773,0.4898,0.37226,0.34679,1.77421,0.60418,0.04991,2.49493,0.01214,0,0.0012476,0.0012476,0.0012476
40,1307.2,1.84403,0.8556,0.21723,2.34388,0.01075,5.21653,0.41111,0.39286,0.36055,0.13957,0.44604,0.40306,0.38242,0.34664,1.78581,0.54755,0.04063,2.29237,0.01248,0,0.0012278,0.0012278,0.0012278
41,1338.26,1.88012,0.85757,0.1912,2.20211,0.01097,5.43142,0.43,0.32143,0.32317,0.14354,0.43401,0.36224,0.34578,0.319,1.80511,0.65495,0.04551,2.47206,0.01257,0,0.001208,0.001208,0.001208
42,1369.08,1.82566,0.79941,0.18504,2.37794,0.01075,5.33749,0.45569,0.41327,0.33057,0.14279,0.47429,0.44388,0.36175,0.31149,1.79759,0.7263,0.03526,2.24664,0.0126,0,0.0011882,0.0011882,0.0011882
