epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,295.713,1.68746,1.2677,0.27604,1.84989,0.00976,7.75729,0.21734,0.46269,0.25718,0.13216,0.23593,0.41791,0.2564,0.19327,1.57231,1.52283,0.08097,2.51368,0.01033,0,0.0015248,0.0015248,0.0015248
26,306.48,1.67702,1.18935,0.28359,1.76427,0.00938,7.66931,0.3061,0.56716,0.31869,0.14379,0.32221,0.59701,0.35077,0.26224,1.55959,1.38563,0.06459,2.17452,0.01033,0,0.001505,0.001505,0.001505
27,316.457,1.64792,1.30951,0.27849,1.76987,0.009,7.53202,0.2728,0.55224,0.3401,0.13192,0.30229,0.61194,0.39694,0.30479,1.68711,1.19774,0.06798,1.833,0.01098,0,0.0014852,0.0014852,0.0014852
28,327.553,1.7861,1.11458,0.24558,1.74803,0.0107,7.74626,0.31192,0.41791,0.36322,0.17379,0.32032,0.44317,0.38737,0.3092,1.66775,1.24834,0.0491,1.6871,0.01105,0,0.0014654,0.0014654,0.0014654
29,338.629,1.7805,1.29258,0.29088,1.84664,0.01029,7.79365,0.32429,0.49254,0.31208,0.15385,0.372,0.55224,0.35693,0.27823,1.59695,1.29838,0.0492,1.95745,0.01044,0,0.0014456,0.0014456,0.0014456
30,348.605,1.74585,1.28986,0.27919,1.83589,0.01,7.6535,0.28718,0.43284,0.27085,0.1219,0.34263,0.47761,0.33749,0.24507,1.89258,1.36405,0.07311,2.00263,0.01249,0,0.0014258,0.0014258,0.0014258
31,359.327,1.76965,1.1395,0.29476,1.79745,0.01043,7.69616,0.37182,0.38871,0.35043,0.17283,0.38609,0.40364,0.35964,0.26158,1.64136,1.12168,0.06582,2.16955,0.01123,0,0.001406,0.001406,0.001406
32,370.641,1.58903,1.15762,0.24386,1.71836,0.00908,7.50084,0.34747,0.29851,0.28904,0.13746,0.35683,0.28358,0.25011,0.16871,1.67744,1.98903,0.09501,2.16714,0.01149,0,0.0013862,0.0013862,0.0013862
33,381.143,1.64915,1.15712,0.24688,1.73946,0.00991,7.85463,0.33627,0.44776,0.29181,0.10396,0.43324,0.54767,0.42495,0.31572,1.96666,1.04591,0.03481,2.02114,0.01472,0,0.0013664,0.0013664,0.0013664
34,391.426,1.57464,1.1146,0.26125,1.71329,0.00886,7.29134,0.35895,0.50746,0.33709,0.16924,0.42818,0.52239,0.40819,0.30205,1.77432,0.99001,0.04512,1.91011,0.01228,0,0.0013466,0.0013466,0.0013466
