epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,464.296,1.59456,1.1262,0.24069,1.95478,0.00886,7.19946,0.22904,0.46269,0.19693,0.08924,0.28364,0.52239,0.27342,0.19999,1.56646,1.18905,0.06042,2.34337,0.01039,0,0.001505,0.001505,0.001505
27,480.47,1.6208,1.2027,0.24048,1.92855,0.00884,7.3002,0.29215,0.43122,0.21259,0.10148,0.28487,0.44776,0.24047,0.17811,1.7469,1.28026,0.07116,2.32225,0.01151,0,0.0014852,0.0014852,0.0014852
28,496.648,1.59567,1.01012,0.20822,1.88187,0.00933,7.26385,0.24311,0.40299,0.1891,0.08668,0.24769,0.43284,0.21188,0.16053,1.41649,1.25569,0.06812,2.9202,0.00916,0,0.0014654,0.0014654,0.0014654
29,512.803,1.54977,1.15242,0.24482,1.95571,0.00895,7.45491,0.36362,0.38806,0.30251,0.16582,0.36362,0.38806,0.31235,0.24748,1.55503,1.10307,0.0511,1.93329,0.01006,0,0.0014456,0.0014456,0.0014456
30,529.239,1.67158,1.199,0.24579,1.931,0.00946,7.47424,0.32682,0.38806,0.28692,0.14334,0.31425,0.37313,0.28784,0.2196,1.29124,1.38539,0.04441,2.09096,0.00871,0,0.0014258,0.0014258,0.0014258
31,545.301,1.67885,1.06223,0.2418,1.93438,0.00974,7.28348,0.3432,0.50746,0.29506,0.15691,0.34286,0.52239,0.31192,0.23722,1.58252,1.16226,0.0367,1.92907,0.01033,0,0.001406,0.001406,0.001406
32,562.109,1.56298,1.04986,0.218,1.81135,0.00877,7.10508,0.38721,0.43284,0.33093,0.16386,0.40388,0.47761,0.34503,0.27032,1.42114,1.287,0.0408,1.90182,0.00971,0,0.0013862,0.0013862,0.0013862
33,578.964,1.63773,0.9904,0.21262,1.86255,0.0097,7.26541,0.319,0.41791,0.24217,0.12692,0.29844,0.47761,0.26083,0.20572,1.41066,1.33841,0.05211,2.33146,0.00947,0,0.0013664,0.0013664,0.0013664
34,595.588,1.6422,1.00088,0.22393,1.71914,0.00918,6.96763,0.29573,0.44776,0.24968,0.1098,0.34474,0.53731,0.34849,0.26666,1.71543,1.28952,0.05782,2.05037,0.01128,0,0.0013466,0.0013466,0.0013466
35,611.764,1.67331,1.02511,0.21501,1.84932,0.0099,7.36392,0.3533,0.31343,0.25167,0.11766,0.38912,0.35821,0.30946,0.23536,1.44906,0.94815,0.05485,2.20396,0.00938,0,0.0013268,0.0013268,0.0013268
36,628.123,1.65004,1.05034,0.18026,1.85258,0.00951,7.07395,0.36077,0.40299,0.29122,0.14007,0.38665,0.41791,0.33339,0.24597,1.56123,1.38129,0.03988,2.02387,0.01024,0,0.001307,0.001307,0.001307
37,644.315,1.61147,1.06009,0.19939,1.80759,0.00929,7.39375,0.26274,0.46269,0.2302,0.11318,0.27231,0.47761,0.24059,0.18789,1.74308,1.47296,0.02668,2.13617,0.01183,0,0.0012872,0.0012872,0.0012872
38,660.675,1.64455,1.02233,0.21729,1.82083,0.00955,7.0934,0.28961,0.49286,0.26305,0.14695,0.30989,0.52951,0.27636,0.21301,1.38221,1.32166,0.03811,2.13773,0.00903,0,0.0012674,0.0012674,0.0012674
39,676.899,1.63585,0.97831,0.18799,1.75037,0.00909,6.96499,0.3111,0.49254,0.3344,0.1811,0.36707,0.49254,0.3475,0.27834,1.41019,1.20285,0.03066,2.0074,0.0095,0,0.0012476,0.0012476,0.0012476
40,695.857,1.61223,0.97711,0.18041,1.76672,0.00939,7.02715,0.35058,0.40299,0.3556,0.17869,0.3615,0.41791,0.37532,0.29578,1.73228,1.15879,0.02549,1.66789,0.01189,0,0.0012278,0.0012278,0.0012278
41,712.878,1.65402,0.98885,0.16181,1.6672,0.00951,6.90417,0.33117,0.52473,0.33206,0.16369,0.35599,0.58209,0.36166,0.29005,1.61648,1.09615,0.02963,2.02267,0.0103,0,0.001208,0.001208,0.001208
42,729.013,1.68714,1.0066,0.17371,1.7856,0.0096,7.18351,0.45398,0.34328,0.32208,0.17499,0.44056,0.36443,0.33736,0.2626,1.55911,1.32958,0.02378,1.96799,0.01061,0,0.0011882,0.0011882,0.0011882
43,745.297,1.61626,0.91773,0.18194,1.6384,0.0088,6.70822,0.3677,0.38806,0.33875,0.16415,0.39945,0.41791,0.38817,0.29953,1.9342,1.26931,0.02872,1.92488,0.01373,0,0.0011684,0.0011684,0.0011684
44,761.519,1.56197,0.96387,0.18385,1.56345,0.00892,6.70453,0.26425,0.53073,0.25618,0.13246,0.35082,0.49254,0.30687,0.24083,1.47172,1.11953,0.03195,2.29037,0.00968,0,0.0011486,0.0011486,0.0011486
